"City","quadrat","species","count","TraitName","value"
"Edmonton",1,"Epilobium angustifolium",1,"Leaf thickness",0.171666666666667
"Edmonton",1,"Epilobium angustifolium",1,"Plant biomass and allometry: Seed number per plant",35676.3
"Edmonton",1,"Epilobium angustifolium",1,"Plant height generative",1.14027777777778
"Edmonton",1,"Epilobium angustifolium",1,"Plant height vegetative",1.14677419354839
"Edmonton",1,"Epilobium angustifolium",1,"Seed number per inflorescence (total, fertile, infertile)",450
"Edmonton",1,"Epilobium ciliatum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",41.3181818181818
"Edmonton",1,"Epilobium ciliatum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",47.98397034
"Edmonton",1,"Epilobium ciliatum",1,"Leaf petiole length",0.225
"Edmonton",1,"Epilobium ciliatum",1,"Plant biomass and allometry: Seed number per plant",2501.6
"Edmonton",1,"Epilobium ciliatum",1,"Plant height vegetative",0.794117647058823
"Edmonton",1,"Epilobium ciliatum",1,"Seed number per flower",550
"Edmonton",1,"Equisetum arvense",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",16.0653431945357
"Edmonton",1,"Equisetum arvense",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",11.2198402206562
"Edmonton",1,"Equisetum arvense",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.7792327873344
"Edmonton",1,"Equisetum arvense",3,"Leaf thickness",0.2901
"Edmonton",1,"Equisetum arvense",3,"Plant height generative",0.325
"Edmonton",1,"Equisetum arvense",3,"Plant height vegetative",0.427782608695652
"Edmonton",1,"Equisetum palustre",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",7.794
"Edmonton",1,"Equisetum palustre",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",13.6349787894623
"Edmonton",1,"Equisetum palustre",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",8
"Edmonton",1,"Equisetum palustre",1,"Plant height generative",0.55
"Edmonton",1,"Equisetum palustre",1,"Plant height vegetative",0.361111111111111
"Edmonton",1,"Equisetum pratense",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.5
"Edmonton",1,"Equisetum pratense",1,"Leaf thickness",0.2932
"Edmonton",1,"Equisetum pratense",1,"Plant height generative",0.325
"Edmonton",1,"Equisetum pratense",1,"Plant height vegetative",0.395833333333333
"Edmonton",1,"Equisetum sylvaticum",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",24.405817977184
"Edmonton",1,"Equisetum sylvaticum",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",23.9264471958823
"Edmonton",1,"Equisetum sylvaticum",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.8981134813267
"Edmonton",1,"Equisetum sylvaticum",2,"Leaf thickness",0.3004
"Edmonton",1,"Equisetum sylvaticum",2,"Plant height generative",0.325
"Edmonton",1,"Equisetum sylvaticum",2,"Plant height vegetative",0.37375
"Edmonton",1,"Erigeron annuus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.0930528846153
"Edmonton",1,"Erigeron annuus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",29.9434175307926
"Edmonton",1,"Erigeron annuus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",25.1601408982857
"Edmonton",1,"Erigeron annuus",2,"Leaf thickness",0.22
"Edmonton",1,"Erigeron annuus",2,"Plant biomass and allometry: Seed number per plant",7143.33333333333
"Edmonton",1,"Erigeron annuus",2,"Plant height generative",0.652625
"Edmonton",1,"Erigeron annuus",2,"Plant height vegetative",0.739058823529412
"Edmonton",1,"Erigeron annuus",2,"Stem diameter",0.00236692307692308
"Edmonton",1,"Erigeron canadensis",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",23.839
"Edmonton",1,"Erigeron canadensis",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",47.005
"Edmonton",1,"Erigeron canadensis",1,"Leaf thickness",0.253
"Edmonton",1,"Erigeron canadensis",1,"Plant height vegetative",0.45775
"Edmonton",1,"Erigeron glabellus",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.6007550566667
"Edmonton",1,"Erigeron glabellus",3,"Leaf thickness",0.330555555333333
"Edmonton",1,"Erigeron philadelphicus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",29.218407596786
"Edmonton",1,"Erigeron philadelphicus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",29.218407597
"Edmonton",1,"Erigeron philadelphicus",2,"Leaf thickness",0.185
"Edmonton",1,"Erigeron philadelphicus",2,"Plant height vegetative",0.85344
"Edmonton",1,"Erigeron speciosus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.2983850375873
"Edmonton",1,"Erigeron speciosus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",16.3288219884873
"Edmonton",1,"Erigeron speciosus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.659582672652
"Edmonton",1,"Erigeron speciosus",1,"Plant height vegetative",0.319878048780488
"Edmonton",1,"Eriophorum angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",9.73002524158572
"Edmonton",1,"Eriophorum angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",12.1429238485201
"Edmonton",1,"Eriophorum angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.6731871122238
"Edmonton",1,"Eriophorum angustifolium",1,"Leaf thickness",0.498
"Edmonton",1,"Eriophorum angustifolium",1,"Plant height generative",0.3623
"Edmonton",1,"Eriophorum angustifolium",1,"Plant height vegetative",0.277852173913043
"Edmonton",1,"Erodium cicutarium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.8473672887384
"Edmonton",1,"Erodium cicutarium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",37.6587749770728
"Edmonton",1,"Erodium cicutarium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",32.0153409069055
"Edmonton",1,"Erodium cicutarium",1,"Leaf thickness",0.2286
"Edmonton",1,"Erodium cicutarium",1,"Plant biomass and allometry: Seed number per plant",400
"Edmonton",1,"Erodium cicutarium",1,"Plant height vegetative",0.21495222352768
"Edmonton",1,"Erodium cicutarium",1,"Root/shoot ratio",1.22028985507246
"Edmonton",1,"Eruca vesicaria",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",15.3772469195101
"Edmonton",1,"Eruca vesicaria",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.3772469196143
"Edmonton",1,"Eruca vesicaria",1,"Plant height vegetative",0.473830845771144
"Edmonton",1,"Erucastrum gallicum",2,"Plant biomass and allometry: Seed number per plant",20237.5
"Edmonton",1,"Erucastrum gallicum",2,"Plant height generative",0.45
"Edmonton",1,"Erucastrum gallicum",2,"Plant height vegetative",0.35
"Edmonton",1,"Erysimum cheiranthoides",4,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.6
"Edmonton",1,"Erysimum cheiranthoides",4,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",27.754598258
"Edmonton",1,"Erysimum cheiranthoides",4,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.7633333333333
"Edmonton",1,"Erysimum cheiranthoides",4,"Leaf thickness",0.21
"Edmonton",1,"Erysimum cheiranthoides",4,"Plant biomass and allometry: Seed number per plant",9985.02941176471
"Edmonton",1,"Erysimum cheiranthoides",4,"Plant height generative",0.375
"Edmonton",1,"Erysimum cheiranthoides",4,"Plant height vegetative",0.41825
"Edmonton",1,"Erysimum cheiranthoides",4,"Root/shoot ratio",0.57
"Edmonton",1,"Erysimum cheiranthoides",4,"Seed number per flower",55
"Edmonton",1,"Erysimum cheiranthoides",4,"Seed number per inflorescence (total, fertile, infertile)",23
"Edmonton",1,"Euphorbia cyparissias",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.515
"Edmonton",1,"Euphorbia cyparissias",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",19.5219222172234
"Edmonton",1,"Euphorbia cyparissias",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.4205
"Edmonton",1,"Euphorbia cyparissias",1,"Leaf petiole length",0
"Edmonton",1,"Euphorbia cyparissias",1,"Plant height generative",0.570425925925926
"Edmonton",1,"Euphorbia cyparissias",1,"Plant height vegetative",0.225975
"Edmonton",1,"Euphorbia cyparissias",1,"Root/shoot ratio",0.85
"Edmonton",1,"Euphorbia cyparissias",1,"Seed number per inflorescence (total, fertile, infertile)",28.8
"Edmonton",1,"Euphorbia cyparissias",1,"Stem diameter",0.003388
"Edmonton",1,"Euthamia graminifolia",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",15.104216225752
"Edmonton",1,"Euthamia graminifolia",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.7525810025846
"Edmonton",1,"Euthamia graminifolia",1,"Plant height vegetative",0.655230555555556
"Edmonton",1,"Fallopia convolvulus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.8838039955107
"Edmonton",1,"Fallopia convolvulus",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",46.84446025625
"Edmonton",1,"Fallopia convolvulus",2,"Leaf petiole length",2.75
"Edmonton",1,"Fallopia convolvulus",2,"Leaf thickness",0.241333333333333
"Edmonton",1,"Fallopia convolvulus",2,"Plant biomass and allometry: Seed number per plant",20328.3636363636
"Edmonton",1,"Fallopia convolvulus",2,"Plant height generative",0.825
"Edmonton",1,"Fallopia convolvulus",2,"Plant height vegetative",0.7625
"Edmonton",1,"Fallopia convolvulus",2,"Seed number per flower",1
"Edmonton",1,"Fallopia convolvulus",2,"Seed number per inflorescence (total, fertile, infertile)",1
"Edmonton",1,"Festuca rubra",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.27057375
"Edmonton",1,"Festuca rubra",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",12.3321742282443
"Edmonton",1,"Festuca rubra",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.1466075602991
"Edmonton",1,"Festuca rubra",1,"Leaf thickness",0.174485156781538
"Edmonton",1,"Festuca rubra",1,"Plant biomass and allometry: Seed number per plant",465
"Edmonton",1,"Festuca rubra",1,"Plant height generative",0.476775
"Edmonton",1,"Festuca rubra",1,"Plant height vegetative",0.3985736
"Edmonton",1,"Festuca rubra",1,"Root/shoot ratio",2.23443429074811
"Edmonton",1,"Festuca rubra",1,"Seed number per inflorescence (total, fertile, infertile)",7.2
"Edmonton",1,"Festuca rubra",1,"Stem diameter",8e-04
"Edmonton",1,"Ficus religiosa",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",9.95917841173737
"Edmonton",1,"Fitzroya cupressoides",1,"Plant height vegetative",50.8
"Edmonton",1,"Fitzroya cupressoides",1,"Stem diameter",2
"Edmonton",1,"Fragaria vesca",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",24.4871794866667
"Edmonton",1,"Fragaria vesca",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",26.9148081361687
"Edmonton",1,"Fragaria vesca",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",27.2717202941734
"Edmonton",1,"Fragaria vesca",1,"Plant biomass and allometry: Seed number per plant",290.5
"Edmonton",1,"Fragaria vesca",1,"Plant height generative",0.144642857142857
"Edmonton",1,"Fragaria vesca",1,"Plant height vegetative",0.111071428571429
"Edmonton",1,"Fragaria vesca",1,"Root/shoot ratio",1.53809523809524
"Edmonton",1,"Fragaria virginiana",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.3763455408998
"Edmonton",1,"Fragaria virginiana",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",13.4088364330266
"Edmonton",1,"Fragaria virginiana",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.46195683643
"Edmonton",1,"Fragaria virginiana",3,"Leaf thickness",0.186266666666667
"Edmonton",1,"Fragaria virginiana",3,"Plant height vegetative",0.121502380952381
"Edmonton",1,"Fragaria virginiana",3,"Stem diameter",0.0011
"Edmonton",1,"Frangula alnus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",23.2445416690137
"Edmonton",1,"Frangula alnus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",21.6880728073795
"Edmonton",1,"Frangula alnus",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",21.360795878907
"Edmonton",1,"Frangula alnus",1,"Leaf petiole length",0.92
"Edmonton",1,"Frangula alnus",1,"Leaf thickness",0.112783333333333
"Edmonton",1,"Frangula alnus",1,"Plant biomass and allometry: Seed number per plant",450
"Edmonton",1,"Frangula alnus",1,"Plant height generative",2.92857142857143
"Edmonton",1,"Frangula alnus",1,"Plant height vegetative",4.07785714285714
"Edmonton",1,"Frangula alnus",1,"Seed number per flower",3
"Edmonton",1,"Frangula alnus",1,"Seed number per inflorescence (total, fertile, infertile)",3
"Edmonton",1,"Fraxinus pennsylvanica",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.4483300330033
"Edmonton",1,"Fraxinus pennsylvanica",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",21.9175
"Edmonton",1,"Fraxinus pennsylvanica",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.8013117163333
"Edmonton",1,"Fraxinus pennsylvanica",2,"Leaf petiole length",3.5
"Edmonton",1,"Fraxinus pennsylvanica",2,"Leaf thickness",0.12875
"Edmonton",1,"Fraxinus pennsylvanica",2,"Plant height generative",20
"Edmonton",1,"Fraxinus pennsylvanica",2,"Plant height vegetative",23.7622857142857
"Edmonton",1,"Fraxinus pennsylvanica",2,"Stem diameter",0.1877
"Edmonton",1,"Galeopsis tetrahit",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.8111111111111
"Edmonton",1,"Galeopsis tetrahit",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",33.606
"Edmonton",1,"Galeopsis tetrahit",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.7
"Edmonton",1,"Galeopsis tetrahit",2,"Leaf thickness",0.2165
"Edmonton",1,"Galeopsis tetrahit",2,"Plant biomass and allometry: Seed number per plant",2084.54545454545
"Edmonton",1,"Galeopsis tetrahit",2,"Plant height generative",0.484375
"Edmonton",1,"Galeopsis tetrahit",2,"Plant height vegetative",0.4255625
"Edmonton",1,"Galeopsis tetrahit",2,"Seed number per flower",4
"Edmonton",1,"Galeopsis tetrahit",2,"Seed number per inflorescence (total, fertile, infertile)",4
"Edmonton",1,"Galium aparine",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",34.1612245457393
"Edmonton",1,"Galium aparine",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",25.175863884079
"Edmonton",1,"Galium aparine",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",42.4397173178402
"Edmonton",1,"Galium aparine",2,"Leaf thickness",0.163228386172857
"Edmonton",1,"Galium aparine",2,"Plant biomass and allometry: Seed number per plant",450.666666666667
"Edmonton",1,"Galium aparine",2,"Plant height generative",1.04
"Edmonton",1,"Galium aparine",2,"Plant height vegetative",0.849222222222222
"Edmonton",1,"Galium aparine",2,"Root/shoot ratio",1.59217869247049
"Edmonton",1,"Galium aparine",2,"Seed number per flower",2
"Edmonton",1,"Galium aparine",2,"Seed number per inflorescence (total, fertile, infertile)",2
"Edmonton",1,"Galium boreale",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.68428781
"Edmonton",1,"Galium boreale",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",20.9040106244336
"Edmonton",1,"Galium boreale",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",27.7396469656692
"Edmonton",1,"Galium boreale",2,"Leaf thickness",0.219791666625
"Edmonton",1,"Galium boreale",2,"Plant biomass and allometry: Seed number per plant",86.1666666666667
"Edmonton",1,"Galium boreale",2,"Plant height generative",0.4555
"Edmonton",1,"Galium boreale",2,"Plant height vegetative",0.250944444444444
"Edmonton",1,"Galium triflorum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",35.7142857142857
"Edmonton",1,"Galium triflorum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",35.714285714
"Edmonton",1,"Galium triflorum",1,"Leaf thickness",0.1
"Edmonton",1,"Galium triflorum",1,"Stem diameter",0.000944594594594595
"Edmonton",1,"Gentianella amarella",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28
"Edmonton",1,"Gentianella amarella",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",29.5286150347787
"Edmonton",1,"Gentianella amarella",3,"Leaf thickness",0.194
"Edmonton",1,"Gentianella amarella",3,"Plant biomass and allometry: Seed number per plant",346.742857142857
"Edmonton",1,"Gentianella amarella",3,"Plant height generative",0.225
"Edmonton",1,"Gentianella amarella",3,"Plant height vegetative",0.196444444444444
"Edmonton",1,"Gentianella amarella",3,"Seed number per flower",64
"Edmonton",1,"Gentianella amarella",3,"Seed number per inflorescence (total, fertile, infertile)",73
"Edmonton",1,"Geranium carolinianum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.6798905608755
"Edmonton",1,"Geranium carolinianum",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.679890561
"Edmonton",1,"Geranium carolinianum",1,"Leaf thickness",0.17
"Edmonton",1,"Geranium carolinianum",1,"Plant height vegetative",0.1
