"SpeciesName","TraitName","value"
"Aster dumosus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.609772376
"Aster dumosus","Plant growth form",NA
"Aster dumosus","Plant height vegetative",0.9
"Aster eatonii","Plant growth form",NA
"Aster eatonii (Gray) HoweIl","Plant growth form",NA
"Aster eatonii (Gray) Howell","Plant growth form",NA
"Aster eminens","Plant growth form",NA
"Aster ericoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",7.8003120124805
"Aster ericoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.3871725327778
"Aster ericoides","Leaf thickness",0.39
"Aster ericoides","Plant growth form",NA
"Aster ericoides","Plant height vegetative",0.9
"Aster falcatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.8656219244
"Aster falcatus","Leaf thickness",0.4775
"Aster falcatus","Plant growth form",NA
"Aster falcatus","Plant height vegetative",NA
"Aster faxonii","Plant growth form",NA
"Aster franklinianus","Plant growth form",NA
"Aster geyeri","Plant growth form",NA
"Aster glaucus","Plant growth form",NA
"Aster gracilescens","Plant growth form",NA
"Aster grayi","Plant growth form",NA
"Aster hesperius","Plant growth form",NA
"Aster ianthinus","Plant growth form",NA
"Aster interior","Plant growth form",NA
"Aster invenustus","Plant growth form",NA
"Aster junciformis","Plant growth form",NA
"Aster laetevirens","Plant growth form",NA
"Aster laevigatus","Plant growth form",NA
"Aster laevis","Dispersal syndrome",NA
"Aster laevis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.714
"Aster laevis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.037809707913
"Aster laevis","Leaf thickness",0.2733333332
"Aster laevis","Plant growth form",NA
"Aster laevis","Plant height generative",0.9
"Aster laevis","Plant height vegetative",0.75
"Aster laevis","Plant reproductive phenology timing",NA
"Aster laevis L.","Dispersal syndrome",NA
"Aster lanceolatus","Dispersal syndrome",NA
"Aster lanceolatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.752772660639
"Aster lanceolatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.8588750577059
"Aster lanceolatus","Plant biomass and allometry: Seed number per plant",8716.14285714286
"Aster lanceolatus","Plant growth form",NA
"Aster lanceolatus","Plant height generative",0.9
"Aster lanceolatus","Plant height vegetative",0.95625
"Aster lanceolatus","Plant reproductive phenology timing",NA
"Aster lanceolatus x novi-belgii (A. x salignus)","Plant height vegetative",1.5
"Aster lateriflorus","Plant growth form",NA
"Aster laxus","Plant growth form",NA
"Aster leavis","Plant growth form",NA
"Aster lindleyanus","Plant growth form",NA
"Aster linguiformis","Plant growth form",NA
"Aster longifolius","Plant growth form",NA
"Aster loriformis","Plant growth form",NA
"Aster maccallae","Plant growth form",NA
"Aster macounii","Plant growth form",NA
"Aster macrophyllus","Dispersal syndrome",NA
"Aster macrophyllus","Plant growth form",NA
"Aster mearnsii","Plant growth form",NA
"Aster missouriensis","Plant growth form",NA
"Aster mohrii","Plant growth form",NA
"Aster multiformis","Plant growth form",NA
"Aster nemoralis","Plant growth form",NA
"Aster nobilis","Plant growth form",NA
"Aster novae-angliae","Dispersal syndrome",NA
"Aster novae-angliae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.8733333333333
"Aster novae-angliae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.1217957298286
"Aster novae-angliae","Leaf petiole length",0
"Aster novae-angliae","Plant growth form",NA
"Aster novae-angliae","Plant height generative",1.25
"Aster novae-angliae","Plant height vegetative",1.225
"Aster novae-angliae","Plant reproductive phenology timing",NA
"Aster novaeanglieae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.2
"Aster novaeanglieae","Plant growth form",NA
"Aster novi-belgii","Dispersal syndrome",NA
"Aster novi-belgii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",19.6
"Aster novi-belgii","Leaf petiole length",0
"Aster novi-belgii","Plant growth form",NA
"Aster novi-belgii","Plant height generative",1.12
"Aster novi-belgii","Plant height vegetative",1.08653846153846
"Aster novi-belgii","Plant reproductive phenology timing",NA
"Aster ontarionis","Plant growth form",NA
"Aster oregonum","Plant growth form",NA
"Aster oregonus","Plant growth form",NA
"Aster osterhoutii","Plant growth form",NA
"Aster pansus","Plant growth form",NA
"Aster pantotrichus","Plant growth form",NA
"Aster phyllolepis","Plant growth form",NA
"Aster pickettianus","Plant growth form",NA
"Aster pilosus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.2783729758235
"Aster pilosus","Plant growth form",NA
"Aster pinifolius","Plant growth form",NA
"Aster polyphyllus","Plant growth form",NA
"Aster pratensis","Plant growth form",NA
"Aster pringlei","Plant growth form",NA
"Aster proteus","Plant growth form",NA
"Aster pubentior","Plant growth form",NA
"Aster puniceus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.8461072796935
"Aster puniceus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",26.4451437045
"Aster puniceus","Plant growth form",NA
"Aster puniceus","Plant height vegetative",0.697454545454545
"Aster puniceus Fern","Plant growth form",NA
"Aster ramosissimus","Plant growth form",NA
"Aster richardsonii","Plant growth form",NA
"Aster riciniatus","Plant growth form",NA
"Aster sagittifolius","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.7877528545714
"Aster sagittifolius","Plant growth form",NA
"Aster saundersii","Plant growth form",NA
"Aster scaber","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",31.673498145
"Aster scaber","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",31.673498145852
"Aster scaber","Leaf thickness",NA
"Aster scaber","Plant growth form",NA
"Aster scaber","Plant height vegetative",0.8
"Aster simplex","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",19.7697222222222
"Aster simplex","Plant growth form",NA
"Aster simplex","Plant height vegetative",1.1526
"Aster stricticaulis","Plant growth form",NA
"Aster strictus","Plant growth form",NA
"Aster subgriseus","Plant growth form",NA
"Aster subspicatus","Plant growth form",NA
"Aster sylvestris","Plant growth form",NA
"Aster tardiflorus","Plant growth form",NA
"Aster tradescantii","Dispersal syndrome",NA
"Aster tradescantii","Plant growth form",NA
"Aster tradescantii","Plant height generative",0.9
"Aster tradescantii","Plant height vegetative",1.03125
"Aster triangularis","Plant growth form",NA
"Aster truellius","Plant growth form",NA
"Aster umbellatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.8651753246753
"Aster umbellatus","Plant growth form",NA
"Aster umbellatus","Plant height vegetative",0.9314
"Aster unalaschkensis","Plant growth form",NA
"Aster undulatus","Plant growth form",NA
"Aster urophyllus","Plant growth form",NA
"Aster vimineus","Plant growth form",NA
"Aster vimineus","Plant height vegetative",2
"Aster wilsonii","Plant growth form",NA
"Aster wootonii","Plant growth form",NA
"Atriplex saggitata Bork.","Plant growth form",NA
"Atriplex saggitata Bork.","Plant height vegetative",0.8
"Atropa physalodes","Plant growth form",NA
"Aucuparia americana (Marshall) Nieuwl.","Dispersal syndrome",NA
"Aucuparia americana (Marshall) Nieuwl.","Plant height vegetative",9.144
"Avena torreyi","Plant growth form",NA
"Azalea canescens","Plant growth form",NA
"Azalea prinophylla","Plant growth form",NA
"Azalea prunifolia","Plant growth form",NA
"Baeothryon alpinum","Plant growth form",NA
"Baeothryon caespitosum","Plant growth form",NA
"Baeothryon cespitosum","Plant growth form",NA
"Baeria maritima","Plant growth form",NA
"Batrachium aquatile","Plant growth form",NA
"Batrachium circinatum","Plant growth form",NA
"Bilderdykia cilinodis","Plant growth form",NA
"Bilderdykia convolvulus","Plant growth form",NA
"Bilderdykia scandens","Plant growth form",NA
"Blephariglotis grandiflora","Plant growth form",NA
"Blephariglotis lacera","Plant growth form",NA
"Blephariglotis psycodes","Plant growth form",NA
"Borckhausenia lutea","Plant growth form",NA
"Brachyactis angusta","Plant growth form",NA
"Brassica alba","Plant growth form",NA
"Brassica arvensis","Plant growth form",NA
"Brassica eruca","Plant growth form",NA
"Brassica hirta","Plant growth form",NA
"Brassica kaber","Plant growth form",NA
"Brauneria purpurea","Plant growth form",NA
"Briza spicata","Plant growth form",NA
"Bromus dertonensis","Plant growth form",NA
"Bromus secundus","Plant growth form",NA
"Bryohaplocladium microphyllum","Plant growth form",NA
"Buccaferrea amplexicaulis","Plant growth form",NA
"Calycomelia lanceolata","Plant growth form",NA
"Carara coronopus","Plant growth form",NA
"Carara didyma","Plant growth form",NA
"Cardamine palustris","Plant growth form",NA
"Cardaria latifolia","Plant growth form",NA
"Carduus marianus","Plant growth form",NA
"Caulinia flexilis","Plant growth form",NA
"Celastrus alatus","Plant growth form",NA
"Cerasus avium","Plant growth form",NA
"Cerasus laurocerasus","Plant growth form",NA
"Cerasus padus","Plant growth form",NA
"Cerasus padus","Plant height vegetative",NA
"Cerasus pensylvanica","Plant growth form",NA
"Cerasus subhirtella","Plant growth form",NA
"Chaetochloa italica","Plant growth form",NA
"Chaetochloa verticillata","Plant growth form",NA
"Chaetochloa viridis","Plant growth form",NA
"Chamaedaphne latifolia (L.) Kuntze","Dispersal syndrome",NA
"Chamaedaphne latifolia (L.) Kuntze","Plant height vegetative",9.144
"Chamaenerion angustifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",27.777777778
"Chamaenerion angustifolium","Plant growth form",NA
"Chamaenerion latifolium","Plant growth form",NA
"Chamaenerion montanum","Plant growth form",NA
"chamaesyce glyptosperma","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.8205128205128
"chamaesyce glyptosperma","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.820512821
"chamaesyce glyptosperma","Leaf thickness",0.12
"chamaesyce glyptosperma","Plant growth form",NA
"chamaesyce glyptosperma","Plant reproductive phenology timing",NA
"Chamaesyce maculata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.2275132275132
"Chamaesyce maculata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.6902245040956
"Chamaesyce maculata","Leaf petiole length",0.0788611111111111
"Chamaesyce maculata","Leaf thickness",0.113333333333333
"Chamaesyce maculata","Plant growth form",NA
"Chamaesyce maculata","Plant reproductive phenology timing",NA
"Chamaesyce nutans","Dispersal syndrome",NA
"Chamaesyce nutans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.0625546944445
"Chamaesyce nutans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.888888889
"Chamaesyce nutans","Leaf thickness",0.146666666666667
"Chamaesyce nutans","Plant growth form",NA
"Chamaesyce nutans","Plant reproductive phenology timing",NA
"Chamaesyce nutans","Root/shoot ratio",0.150908085576964
"Chamaesyce peplis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",17.8
"Chamaesyce peplis","Plant growth form",NA
"Chamaesyce peplis","Plant height vegetative",0.0243
"Chamaesyce polygonifolia","Plant growth form",NA
"Chamaesyce preslii","Plant growth form",NA
"Chamaesyce rafinesquei","Plant growth form",NA
"Chamaesyce serpens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.3150183150183
"Chamaesyce serpens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.315018315
"Chamaesyce serpens","Leaf thickness",0.13
"Chamaesyce serpens","Plant growth form",NA
"Chamaesyce serpens","Plant reproductive phenology timing",NA
"Chamaesyce supina","Plant growth form",NA
"Chamaesyce tracyi","Plant growth form",NA
"Chamaesyce vermiculata","Plant growth form",NA
"Chamerion angustifolium","Dispersal syndrome",NA
"Chamerion angustifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.727507566567
"Chamerion angustifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.6498551006369
"Chamerion angustifolium","Leaf thickness",0.253333333333333
"Chamerion angustifolium","Plant biomass and allometry: Seed number per plant",55000
"Chamerion angustifolium","Plant growth form",NA
"Chamerion angustifolium","Plant height vegetative",0.940573913043478
"Chamerion angustifolium","Plant reproductive phenology timing",NA
"Chamerion angustifolium","Seed number per flower",525
"Chamerion latifolium","Plant growth form",NA
"Chamomilla inodora","Plant growth form",NA
"Chamomilla maritima","Plant growth form",NA
"Chamomilla suaveolens","Dispersal syndrome",NA
"Chamomilla suaveolens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",23.325
"Chamomilla suaveolens","Plant biomass and allometry: Seed number per plant",7586.8
"Chamomilla suaveolens","Plant growth form",NA
"Chamomilla suaveolens","Plant height generative",0.175
"Chamomilla suaveolens","Plant height vegetative",0.20625
"Chamomilla suaveolens","Plant reproductive phenology timing",NA
"Chamomilla suaveolens","Seed number per inflorescence (total, fertile, infertile)",450
"Cheirinia cheiranthoides","Plant growth form",NA
"Chenopodium ambrosioides","Dispersal syndrome",NA
"Chenopodium ambrosioides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",29.518
"Chenopodium ambrosioides","Plant biomass and allometry: Seed number per plant",10036.8181818182
"Chenopodium ambrosioides","Plant growth form",NA
"Chenopodium ambrosioides","Plant height generative",0.571875
"Chenopodium ambrosioides","Plant height vegetative",0.665769230769231
"Chenopodium ambrosioides","Plant reproductive phenology timing",NA
"Chenopodium ambrosioides L.","Plant growth form",NA
"Chenopodium ambrosioides L.","Plant height vegetative",0.175
"Chenopodium ambrosoides","Plant growth form",NA
"Chenopodium anthelminticum","Plant growth form",NA
"Chenopodium anthelminticum","Plant height vegetative",NA
"Chiogenes hispidula","Plant growth form",NA
"Chionodoxa forbesii","Plant growth form",NA
"Chionodoxa forbesii","Plant reproductive phenology timing",NA
"Chionodoxa luciliae","Plant growth form",NA
"Chionodoxa luciliae","Plant reproductive phenology timing",NA
"Chrysanthemum leucanthemum","Dispersal syndrome",NA
"Chrysanthemum leucanthemum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.120317217204
"Chrysanthemum leucanthemum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.6050107409639
"Chrysanthemum leucanthemum","Leaf thickness",0.3308
"Chrysanthemum leucanthemum","Plant growth form",NA
"Chrysanthemum leucanthemum L.","Dispersal syndrome",NA
"Chrysanthemum leucothemum","Plant growth form",NA
"Chrysanthemum leucothemum","Stem diameter",0.00176666666666667
"Chrysanthemum parthenium","Dispersal syndrome",NA
"Chrysanthemum parthenium","Plant growth form",NA
"Chrysanthemum parthenium (L.) Bernh.","Dispersal syndrome",NA
"Chrysanthemum serotinum","Plant growth form",NA
"Chrysanthemum uliginosum","Plant growth form",NA
"Chrysanthemum vulgare","Plant growth form",NA
"Chrysanthenum  leucanthemum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",26.2889047619048
"Chrysanthenum  leucanthemum","Plant height vegetative",0.4557
"Chrysobotrya aurea","Plant growth form",NA
"Chrysocoma graminifolia","Plant growth form",NA
"Cineraria congesta","Plant growth form",NA
"Cineraria hybrida","Plant growth form",NA
"Cissus quinquefolia","Plant growth form",NA
"Cladothamnus pyroliflorus","Plant growth form",NA
"Claytonia parvifolia","Plant growth form",NA
"Cleome dodecandra","Plant growth form",NA
"Cleome graveolens","Plant growth form",NA
"Coleogeton filiformis","Plant growth form",NA
"Coleogeton pectinatus","Plant growth form",NA
"Comandra lividum","Plant growth form",NA
"Convallaria biflora","Plant growth form",NA
"Convallaria pubescens","Plant growth form",NA
"Convallaria stellata","Plant growth form",NA
"Convallaria trifolia","Plant growth form",NA
"Conyza  canadensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",23
"Conyza  canadensis","Plant biomass and allometry: Seed number per plant",9.89
"Conyza  canadensis","Plant height vegetative",0.809
"Conyza  canadensis","Plant reproductive phenology timing",NA
"Conyza canadensis","Dispersal syndrome",NA
"Conyza canadensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",22.5461673881674
"Conyza canadensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",22.3196966371935
"Conyza canadensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",28.9842411172862
"Conyza canadensis","Leaf petiole length",0
"Conyza canadensis","Leaf thickness",0.131904761904762
"Conyza canadensis","Plant biomass and allometry: Seed number per plant",112000
"Conyza canadensis","Plant growth form",NA
"Conyza canadensis","Plant height generative",0.56
"Conyza canadensis","Plant height vegetative",0.488674796747967
"Conyza canadensis","Plant reproductive phenology timing",NA
"Conyza canadensis","Seed number per flower",52
"Conyza canadensis","Seed number per inflorescence (total, fertile, infertile)",49
"Conyza canadensis (L.) Cronquist","Plant growth form",NA
"Conyza canadensis (L.) Cronquist","Plant height vegetative",1.162
"Conyza canadensis (L.) Cronquist","Plant reproductive phenology timing",NA
"Conyza canadensis var. canadensis","Plant growth form",NA
"Conyza canadensis var. glabrata","Plant growth form",NA
"Conyza canadensis var. pusilla","Plant growth form",NA
"Conyza parva","Plant growth form",NA
"Coronaria flos-cuculi","Plant growth form",NA
"Coronilla varia","Dispersal syndrome",NA
"Coronilla varia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",27.7731197043447
"Coronilla varia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",27.6300639933248
"Coronilla varia","Leaf thickness",0.155
"Coronilla varia","Plant biomass and allometry: Seed number per plant",1242.04545454545
"Coronilla varia","Plant growth form",NA
"Coronilla varia","Plant height generative",0.43
"Coronilla varia","Plant height vegetative",0.583836666666667
"Coronilla varia","Plant reproductive phenology timing",NA
"Coronilla varia","Seed number per inflorescence (total, fertile, infertile)",63.3333333333333
"Coronilla varia L.","Plant growth form",NA
"Coronilla varia L.","Plant height vegetative",NA
"Coronilla varia L.","Plant reproductive phenology timing",NA
"Coronopus didymus","Dispersal syndrome",NA
"Coronopus didymus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",31.35
"Coronopus didymus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",42.944
"Coronopus didymus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",42.77
"Coronopus didymus","Plant biomass and allometry: Seed number per plant",199
"Coronopus didymus","Plant growth form",NA
"Coronopus didymus","Plant height generative",0.2
"Coronopus didymus","Plant height vegetative",0.173461538461538
"Coronopus didymus","Plant reproductive phenology timing",NA
"Coronopus procumbens","Plant growth form",NA
"Coronopus squamatus","Dispersal syndrome",NA
"Coronopus squamatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.8
"Coronopus squamatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",32.196
"Coronopus squamatus","Plant biomass and allometry: Seed number per plant",1836.63333333333
"Coronopus squamatus","Plant growth form",NA
"Coronopus squamatus","Plant height generative",0.090625
"Coronopus squamatus","Plant height vegetative",0.130588235294118
"Coronopus squamatus","Plant reproductive phenology timing",NA
"Corydalis lutea","Plant growth form",NA
"Corydalis lutea","Plant height vegetative",0.2
"Cotoneaster pyracantha","Plant growth form",NA
"Crataegus florentina","Plant growth form",NA
"Crataegus pyracantha","Plant growth form",NA
"Critesion brachyantherum","Plant growth form",NA
"Critesion jubatum","Plant growth form",NA
"Critesion murinum","Plant growth form",NA
"Cunila pulegioides","Plant growth form",NA
"Cyanococcus corymbosus","Plant growth form",NA
"Cyanococcus liparis","Plant growth form",NA
"Cylactis pubescens","Plant growth form",NA
"cynanchum louiseae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",16.2522522522519
"cynanchum louiseae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.252252252
"cynanchum louiseae","Leaf thickness",0.31
"cynanchum louiseae","Plant growth form",NA
"cynanchum louiseae","Plant reproductive phenology timing",NA
"Cynanchum nigrum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",24.7518181818182
"Cynanchum nigrum","Plant growth form",NA
"Cynanchum rossicum","Plant growth form",NA
"Cynosurus indicus","Plant growth form",NA
"Cyperus acicularis","Plant growth form",NA
"Cyperus palustris","Plant growth form",NA
"Cyrtorhyncha cymbalaria","Plant growth form",NA
