"","AccSpeciesID","Genus","Species","ObsNum","ObsGRNum","MeasNum","MeasGRNum","TraitNum","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9"
"250054",372896,"Pterostylis","subtilis","2","2","2","","","","","","","","","",NA,NA,NA
"250055",372897,"Pterostylis","tanypoda","2","2","2","","","","","","","","","",NA,NA,NA
"250056",372898,"Pterostylis","tasmanica","2","2","2","","","","","","","","","",NA,NA,NA
"250057",372899,"Pterostylis","taurus","2","2","2","","","","","","","","","",NA,NA,NA
"250058",372900,"Pterostylis","tenuicauda","2","2","2","","","","","","","","","",NA,NA,NA
"250059",372901,"Pterostylis","tenuis","2","2","2","","","","","","","","","",NA,NA,NA
"250060",372902,"Pterostylis","tenuissima","2","2","2","","","","","","","","","",NA,NA,NA
"250061",372903,"Pterostylis","thulia","2","2","2","","","","","","","","","",NA,NA,NA
"250062",372904,"Pterostylis","timorensis","2","2","2","","","","","","","","","",NA,NA,NA
"250063",372905,"Pterostylis","timothyi","2","2","2","","","","","","","","","",NA,NA,NA
"250064",372906,"Pterostylis","torquata","2","2","2","","","","","","","","","",NA,NA,NA
"250065",372907,"Pterostylis","tristis","2","2","2","","","","","","","","","",NA,NA,NA
"250066",372908,"Pterostylis","trullifolia","2","2","2","","","","","","","","","",NA,NA,NA
"250067",372909,"Pterostylis","tunstallii","3","4","4","","","","","","","","","",NA,NA,NA
"250068",372910,"Pterostylis","turfosa","2","2","2","","","","","","","","","",NA,NA,NA
"250069",372911,"Pterostylis","uliginosa","3","4","4","","","","","","","","","",NA,NA,NA
"250070",372912,"Pterostylis","umbrina","2","2","2","","","","","","","","","",NA,NA,NA
"250071",372913,"Pterostylis","ventricosa","2","2","2","","","","","","","","","",NA,NA,NA
"250072",372914,"Pterostylis","vernalis","2","2","2","","","","","","","","","",NA,NA,NA
"250073",372915,"Pterostylis","vitrea","2","2","2","","","","","","","","","",NA,NA,NA
"250074",372916,"Pterostylis","vittata","3","4","4","","","","","","","","","",NA,NA,NA
"250075",372917,"Pterostylis","wapstrarum","2","2","2","","","","","","","","","",NA,NA,NA
"250076",372918,"Pterostylis","williamsonii","2","2","2","","","","","","","","","",NA,NA,NA
"250077",372919,"Pterostylis","woollsii","2","2","2","","","","","","","","","",NA,NA,NA
"250078",372920,"Pterostylis","xerophila","2","2","2","","","","","","","","","",NA,NA,NA
"250079",372921,"Pterostylis","ziegeleri","2","2","2","","","","","","","","","",NA,NA,NA
"250080",372922,"Pterozonium","maguirei","2","2","2","","","","","","","","","",NA,NA,NA
"250081",372923,"Pterozonium","paraphysatum","2","2","2","","","","","","","","","",NA,NA,NA
"250082",372924,"Pterozonium","scopulinum","2","2","2","","","","","","","","","",NA,NA,NA
"250083",372925,"Pterygiopsis","atra","1","1","1","","","","","","","","","",NA,NA,NA
"250084",372926,"Pterygocalyx","volubilis","2","2","2","","","","","","","","","",NA,NA,NA
"250085",372927,"Pterygodium","connivens","2","2","2","","","","","","","","","",NA,NA,NA
"250086",372928,"Pterygodium","cooperi","23","23","19","","","","","","","","","",NA,NA,NA
"250087",372929,"Pterygodium","hallii","2","2","2","","","","","","","","","",NA,NA,NA
"250088",372930,"Pterygodium","hastatum","24","24","19","","","","","","","","","",NA,NA,NA
"250089",372931,"Pterygodium","inversum","2","2","2","","","","","","","","","",NA,NA,NA
"250090",372932,"Pterygodium","leucanthum","23","23","19","","","","","","","","","",NA,NA,NA
"250091",372933,"Pterygodium","magnum","25","25","19","","","","","","","","","",NA,NA,NA
"250092",372934,"Pterygodium","newdigatae","2","2","2","","","","","","","","","",NA,NA,NA
"250093",372935,"Pterygodium","pentherianum","2","2","2","","","","","","","","","",NA,NA,NA
"250094",372936,"Pterygodium","platypetalum","2","2","2","","","","","","","","","",NA,NA,NA
"250095",372937,"Pterygodium","schelpei","2","2","2","","","","","","","","","",NA,NA,NA
"250096",372938,"Pterygodium","ukingense","2","2","2","","","","","","","","","",NA,NA,NA
"250097",372939,"Pterygodium","vermiferum","2","2","2","","","","","","","","","",NA,NA,NA
"250098",372940,"Pterygoneurum","kozlovii","1","1","1","","","","","","","","","",NA,NA,NA
"250099",372941,"Pterygoneurum","lamellatum","1","1","1","","","","","","","","","",NA,NA,NA
"250100",372942,"Pterygoneurum","ovatum","1","1","1","","","","","","","","","",NA,NA,NA
"250101",372943,"Pterygoneurum","subsessile","2","2","1","","","","","","","","","",NA,NA,NA
"250102",372944,"Pterygota","augouardii","1","1","1","","","","","","","","","",NA,NA,NA
"250103",372945,"Pterygota","madagascariensis","1","1","1","","","","","","","","","",NA,NA,NA
"250104",372946,"Pterygota","perrieri","1","1","1","","","","","","","","","",NA,NA,NA
"250105",372947,"Pterygota","schoorkopfii","1","1","1","","","","","","","","","",NA,NA,NA
"250106",372948,"Pterygota","schumanniana","1","1","1","","","","","","","","","",NA,NA,NA
"250107",372949,"Pterygota","schweinfurthii","1","1","1","","","","","","","","","",NA,NA,NA
"250108",372950,"Pteryxia","1","1","1","","","","","","","","","","",NA,NA,NA
"250109",372951,"Pteryxia","terebinthina","var.","albiflora","1","1","1","","","","","","","",NA,NA,NA
"250110",372952,"Ptilagrostis","1","1","1","","","","","","","","","","",NA,NA,NA
"250111",372953,"Ptilagrostis","junatovii","2","2","2","","","","","","","","","",NA,NA,NA
"250112",372954,"Ptilagrostis","luquensis","2","2","2","","","","","","","","","",NA,NA,NA
"250113",372955,"Ptilagrostis","malyschevii","2","2","2","","","","","","","","","",NA,NA,NA
"250114",372956,"Ptilagrostis","roshevitsiana","2","2","2","","","","","","","","","",NA,NA,NA
"250115",372957,"Ptilagrostis","yadongensis","2","2","2","","","","","","","","","",NA,NA,NA
"250116",372958,"Ptilidium","californicum","1","1","1","","","","","","","","","",NA,NA,NA
"250117",372959,"Ptilidium","ciliare","2","32","25","","","","","","","","","",NA,NA,NA
"250118",372960,"Ptilidium","pulcherrimum","2","32","25","","","","","","","","","",NA,NA,NA
"250119",372961,"Ptilimnium","1","1","1","","","","","","","","","","",NA,NA,NA
"250120",372962,"Ptilochaeta","elegans","1","1","1","","","","","","","","","",NA,NA,NA
"250121",372963,"Ptilostemon","gnaphaloides","2","2","2","","","","","","","","","",NA,NA,NA
"250122",372964,"Ptilostemon","stellatus","2","2","2","","","","","","","","","",NA,NA,NA
"250123",372965,"Ptilotrichum","dahuricum","2","2","2","","","","","","","","","",NA,NA,NA
"250124",372966,"Ptilotus","alexandri","2","2","2","","","","","","","","","",NA,NA,NA
"250125",372967,"Ptilotus","auriculifolius","2","2","2","","","","","","","","","",NA,NA,NA
"250126",372968,"Ptilotus","beardii","1","1","1","","","","","","","","","",NA,NA,NA
"250127",372969,"Ptilotus","blackii","1","1","1","","","","","","","","","",NA,NA,NA
"250128",372970,"Ptilotus","caespitulosus","1","1","1","","","","","","","","","",NA,NA,NA
"250129",372971,"Ptilotus","carinatus","2","2","2","","","","","","","","","",NA,NA,NA
"250130",372972,"Ptilotus","carlsonii","2","2","2","","","","","","","","","",NA,NA,NA
"250131",372973,"Ptilotus","chamaecladus","2","2","2","","","","","","","","","",NA,NA,NA
"250132",372974,"Ptilotus","chippendalei","2","2","2","","","","","","","","","",NA,NA,NA
"250133",372975,"Ptilotus","chrysocomus","1","1","1","","","","","","","","","",NA,NA,NA
"250134",372976,"Ptilotus","comatus","2","2","2","","","","","","","","","",NA,NA,NA
"250135",372977,"Ptilotus","conicus","2","2","2","","","","","","","","","",NA,NA,NA
"250136",372978,"Ptilotus","crispus","2","2","2","","","","","","","","","",NA,NA,NA
"250137",372979,"Ptilotus","decalvatus","2","2","2","","","","","","","","","",NA,NA,NA
"250138",372980,"Ptilotus","divaricatus","1","1","1","","","","","","","","","",NA,NA,NA
"250139",372981,"Ptilotus","drummondii","1","1","1","","","","","","","","","",NA,NA,NA
"250140",372982,"Ptilotus","eriotrichus","1","1","1","","","","","","","","","",NA,NA,NA
"250141",372983,"Ptilotus","extenuatus","1","1","1","","","","","","","","","",NA,NA,NA
"250142",372984,"Ptilotus","fasciculatus","1","1","1","","","","","","","","","",NA,NA,NA
"250143",372985,"Ptilotus","fraseri","1","1","1","","","","","","","","","",NA,NA,NA
"250144",372986,"Ptilotus","gardneri","1","1","1","","","","","","","","","",NA,NA,NA
"250145",372987,"Ptilotus","gomphrenoides","2","2","2","","","","","","","","","",NA,NA,NA
"250146",372988,"Ptilotus","grandiflorus","2","2","2","","","","","","","","","",NA,NA,NA
"250147",372989,"Ptilotus","halophilus","1","1","1","","","","","","","","","",NA,NA,NA
"250148",372990,"Ptilotus","humilis","2","2","2","","","","","","","","","",NA,NA,NA
"250149",372991,"Ptilotus","johnstonianus","1","1","1","","","","","","","","","",NA,NA,NA
"250150",372992,"Ptilotus","kenneallyanus","1","1","1","","","","","","","","","",NA,NA,NA
"250151",372993,"Ptilotus","lazaridis","1","1","1","","","","","","","","","",NA,NA,NA
"250152",372994,"Ptilotus","luteolus","1","1","1","","","","","","","","","",NA,NA,NA
"250153",372995,"Ptilotus","mitchellii","1","1","1","","","","","","","","","",NA,NA,NA
"250154",372996,"Ptilotus","mollis","1","1","1","","","","","","","","","",NA,NA,NA
"250155",372997,"Ptilotus","petiolatus","2","2","2","","","","","","","","","",NA,NA,NA
"250156",372998,"Ptilotus","procumbens","2","2","2","","","","","","","","","",NA,NA,NA
"250157",372999,"Ptilotus","pyramidatus","1","1","1","","","","","","","","","",NA,NA,NA
"250158",373000,"Ptilotus","royceanus","1","1","1","","","","","","","","","",NA,NA,NA
"250159",373001,"Ptilotus","seminudus","1","1","1","","","","","","","","","",NA,NA,NA
"250160",373002,"Ptilotus","sericostachyus","1","1","1","","","","","","","","","",NA,NA,NA
"250161",373003,"Ptilotus","sessilifolius","1","18","4","","","","","","","","","",NA,NA,NA
"250162",373004,"Ptilotus","stipitatus","1","1","1","","","","","","","","","",NA,NA,NA
"250163",373005,"Ptilotus","stirlingii","1","1","1","","","","","","","","","",NA,NA,NA
"250164",373006,"Ptilotus","subspinescens","1","1","1","","","","","","","","","",NA,NA,NA
"250165",373007,"Ptilotus","symonii","1","1","1","","","","","","","","","",NA,NA,NA
"250166",373008,"Ptilotus","tetrandrus","2","2","2","","","","","","","","","",NA,NA,NA
"250167",373009,"Ptilotus","trichocephalus","1","1","1","","","","","","","","","",NA,NA,NA
"250168",373010,"Ptilotus","wilsonii","1","1","1","","","","","","","","","",NA,NA,NA
"250169",373011,"Ptychococcus","lepidotus","1","1","1","","","","","","","","","",NA,NA,NA
"250170",373012,"Ptychodium","plicatum","1","34","26","","","","","","","","","",NA,NA,NA
"250171",373013,"Ptychographa","xylographoides","1","1","1","","","","","","","","","",NA,NA,NA
"250172",373014,"Ptycholobium","1","9","1","","","","","","","","","","",NA,NA,NA
"250173",373015,"Ptychomitrium","drummondii","1","1","1","","","","","","","","","",NA,NA,NA
"250174",373016,"Ptychomitrium","gardneri","1","1","1","","","","","","","","","",NA,NA,NA
"250175",373017,"Ptychomitrium","incurvum","1","1","1","","","","","","","","","",NA,NA,NA
"250176",373018,"Ptychomitrium","serratum","1","1","1","","","","","","","","","",NA,NA,NA
"250177",373019,"Ptychomitrium","sinense","1","1","1","","","","","","","","","",NA,NA,NA
"250178",373020,"Ptychopyxis","bacciformis","2","2","2","","","","","","","","","",NA,NA,NA
"250179",373021,"Ptychopyxis","chrysantha","1","1","1","","","","","","","","","",NA,NA,NA
"250180",373022,"Ptychopyxis","esdras","1","1","1","","","","","","","","","",NA,NA,NA
"250181",373023,"Ptychopyxis","glochidiifolia","2","2","2","","","","","","","","","",NA,NA,NA
"250182",373024,"Ptychopyxis","javanica","2","2","2","","","","","","","","","",NA,NA,NA
"250183",373025,"Ptychopyxis","plagiocarpa","1","1","1","","","","","","","","","",NA,NA,NA
"250184",373026,"Ptychosema","1","6","1","","","","","","","","","","",NA,NA,NA
"250185",373027,"Ptychosema","pusillum","1","1","1","","","","","","","","","",NA,NA,NA
"250186",373028,"Ptychosperma","1","1","1","","","","","","","","","","",NA,NA,NA
"250187",373029,"Ptychosperma","ambiguum","1","1","1","","","","","","","","","",NA,NA,NA
"250188",373030,"Ptychosperma","buabe","1","1","1","","","","","","","","","",NA,NA,NA
"250189",373031,"Ptychosperma","caryotoides","1","1","1","","","","","","","","","",NA,NA,NA
"250190",373032,"Ptychosperma","cuneatum","1","1","1","","","","","","","","","",NA,NA,NA
"250191",373033,"Ptychosperma","furcatum","1","1","1","","","","","","","","","",NA,NA,NA
"250192",373034,"Ptychosperma","gracile","1","1","1","","","","","","","","","",NA,NA,NA
"250193",373035,"Ptychosperma","hartmannii","1","1","1","","","","","","","","","",NA,NA,NA
"250194",373036,"Ptychosperma","lauterbachii","1","1","1","","","","","","","","","",NA,NA,NA
"250195",373037,"Ptychosperma","macrocerum","1","1","1","","","","","","","","","",NA,NA,NA
"250196",373038,"Ptychosperma","mambare","1","1","1","","","","","","","","","",NA,NA,NA
"250197",373039,"Ptychosperma","microcarpum","1","1","1","","","","","","","","","",NA,NA,NA
"250198",373040,"Ptychosperma","nicolai","1","1","1","","","","","","","","","",NA,NA,NA
"250199",373041,"Ptychosperma","praemorsum","1","1","1","","","","","","","","","",NA,NA,NA
"250200",373042,"Ptychosperma","propinquum","1","1","1","","","","","","","","","",NA,NA,NA
"250201",373043,"Ptychosperma","pullenii","1","1","1","","","","","","","","","",NA,NA,NA
"250202",373044,"Ptychosperma","ramosissimum","1","1","1","","","","","","","","","",NA,NA,NA
"250203",373045,"Ptychosperma","rosselense","1","1","1","","","","","","","","","",NA,NA,NA
"250204",373046,"Ptychosperma","salomonense","1","1","1","","","","","","","","","",NA,NA,NA
"250205",373047,"Ptychosperma","schefferi","1","1","1","","","","","","","","","",NA,NA,NA
"250206",373048,"Ptychosperma","streimannii","1","1","1","","","","","","","","","",NA,NA,NA
"250207",373049,"Ptychosperma","tagulense","1","1","1","","","","","","","","","",NA,NA,NA
"250208",373050,"Ptychosperma","vestitum","1","1","1","","","","","","","","","",NA,NA,NA
"250209",373051,"Ptychosperma","waitianum","1","1","1","","","","","","","","","",NA,NA,NA
"250210",373052,"Ptychostomum","capillare","2","33","26","","","","","","","","","",NA,NA,NA
"250211",373053,"Ptychostomum","intermedium","1","1","1","","","","","","","","","",NA,NA,NA
"250212",373054,"Ptychostomum","pendulum","1","1","1","","","","","","","","","",NA,NA,NA
"250213",373055,"Ptyssiglottis","chrysea","1","1","1","","","","","","","","","",NA,NA,NA
"250214",373056,"Ptyssiglottis","cuprea","1","1","1","","","","","","","","","",NA,NA,NA
"250215",373057,"Ptyssiglottis","isophylla","1","1","1","","","","","","","","","",NA,NA,NA
"250216",373058,"Ptyssiglottis","kunthiana","1","1","1","","","","","","","","","",NA,NA,NA
"250217",373059,"Ptyssiglottis","radicans","1","1","1","","","","","","","","","",NA,NA,NA
"250218",373060,"Pubescent","rosette","sp","2","2","7","7","3","","","","","","",NA,NA,NA
"250219",373061,"Pubistylus","andamanensis","1","1","1","","","","","","","","","",NA,NA,NA
"250220",373062,"Puccinellia","1","1","1","","","","","","","","","","",NA,NA,NA
"250221",373063,"Puccinellia","acroxantha","2","2","2","","","","","","","","","",NA,NA,NA
"250222",373064,"Puccinellia","altaica","2","2","2","","","","","","","","","",NA,NA,NA
"250223",373065,"Puccinellia","argentinensis","2","2","2","","","","","","","","","",NA,NA,NA
"250224",373066,"Puccinellia","arjinshanensis","2","2","2","","","","","","","","","",NA,NA,NA
"250225",373067,"Puccinellia","banksiensis","2","2","2","","","","","","","","","",NA,NA,NA
"250226",373068,"Puccinellia","biflora","2","2","2","","","","","","","","","",NA,NA,NA
"250227",373069,"Puccinellia","byrrangensis","2","2","2","","","","","","","","","",NA,NA,NA
"250228",373070,"Puccinellia","candida","2","2","2","","","","","","","","","",NA,NA,NA
"250229",373071,"Puccinellia","choresmica","2","2","2","","","","","","","","","",NA,NA,NA
"250230",373072,"Puccinellia","convoluta","2","2","2","","","","","","","","","",NA,NA,NA
"250231",373073,"Puccinellia","coreensis","2","2","2","","","","","","","","","",NA,NA,NA
"250232",373074,"Puccinellia","decumbens","1","1","1","","","","","","","","","",NA,NA,NA
"250233",373075,"Puccinellia","degeensis","2","2","2","","","","","","","","","",NA,NA,NA
"250234",373076,"Puccinellia","diffusa","2","2","2","","","","","","","","","",NA,NA,NA
"250235",373077,"Puccinellia","dolicholepis","2","2","2","","","","","","","","","",NA,NA,NA
"250236",373078,"Puccinellia","filifolia","2","2","2","","","","","","","","","",NA,NA,NA
"250237",373079,"Puccinellia","florida","2","2","2","","","","","","","","","",NA,NA,NA
"250238",373080,"Puccinellia","gorodkovii","2","2","2","","","","","","","","","",NA,NA,NA
"250239",373081,"Puccinellia","grossheimiana","2","2","2","","","","","","","","","",NA,NA,NA
"250240",373082,"Puccinellia","hackeliana","2","2","2","","","","","","","","","",NA,NA,NA
"250241",373083,"Puccinellia","harcusiana","2","2","2","","","","","","","","","",NA,NA,NA
"250242",373084,"Puccinellia","himalaica","2","2","2","","","","","","","","","",NA,NA,NA
"250243",373085,"Puccinellia","hispanica","2","2","2","","","","","","","","","",NA,NA,NA
"250244",373086,"Puccinellia","iberica","2","2","2","","","","","","","","","",NA,NA,NA
"250245",373087,"Puccinellia","jenisseiensis","2","2","2","","","","","","","","","",NA,NA,NA
"250246",373088,"Puccinellia","kashmiriana","2","2","2","","","","","","","","","",NA,NA,NA
"250247",373089,"Puccinellia","koeieana","2","2","2","","","","","","","","","",NA,NA,NA
"250248",373090,"Puccinellia","kuenlunica","2","2","2","","","","","","","","","",NA,NA,NA
"250249",373091,"Puccinellia","ladakhensis","2","2","2","","","","","","","","","",NA,NA,NA
"250250",373092,"Puccinellia","ladyginii","2","2","2","","","","","","","","","",NA,NA,NA
"250251",373093,"Puccinellia","leiolepis","2","2","2","","","","","","","","","",NA,NA,NA
"250252",373094,"Puccinellia","lenensis","2","2","2","","","","","","","","","",NA,NA,NA
"250253",373095,"Puccinellia","longior","1","1","1","","","","","","","","","",NA,NA,NA
"250254",373096,"Puccinellia","macropus","2","2","2","","","","","","","","","",NA,NA,NA
"250255",373097,"Puccinellia","magellanica","2","2","2","","","","","","","","","",NA,NA,NA
"250256",373098,"Puccinellia","manchuriensis","2","2","2","","","","","","","","","",NA,NA,NA
"250257",373099,"Puccinellia","mendozina","2","2","2","","","","","","","","","",NA,NA,NA
"250258",373100,"Puccinellia","micranthera","2","2","2","","","","","","","","","",NA,NA,NA
"250259",373101,"Puccinellia","minuta","2","2","2","","","","","","","","","",NA,NA,NA
"250260",373102,"Puccinellia","multiflora","2","2","2","","","","","","","","","",NA,NA,NA
"250261",373103,"Puccinellia","nipponica","2","2","2","","","","","","","","","",NA,NA,NA
"250262",373104,"Puccinellia","nudiflora","2","2","2","","","","","","","","","",NA,NA,NA
"250263",373105,"Puccinellia","pamirica","2","2","2","","","","","","","","","",NA,NA,NA
"250264",373106,"Puccinellia","pannonica","2","2","2","","","","","","","","","",NA,NA,NA
"250265",373107,"Puccinellia","parvula","2","2","2","","","","","","","","","",NA,NA,NA
"250266",373108,"Puccinellia","pauciramea","2","2","2","","","","","","","","","",NA,NA,NA
"250267",373109,"Puccinellia","poecilantha","2","2","2","","","","","","","","","",NA,NA,NA
"250268",373110,"Puccinellia","porsildii","2","2","2","","","","","","","","","",NA,NA,NA
"250269",373111,"Puccinellia","preslii","2","2","2","","","","","","","","","",NA,NA,NA
"250270",373112,"Puccinellia","przewalskii","2","2","2","","","","","","","","","",NA,NA,NA
"250271",373113,"Puccinellia","pusilla","2","2","2","","","","","","","","","",NA,NA,NA
"250272",373114,"Puccinellia","qinghaica","2","2","2","","","","","","","","","",NA,NA,NA
"250273",373115,"Puccinellia","roborovskyi","2","2","2","","","","","","","","","",NA,NA,NA
"250274",373116,"Puccinellia","roshevitsiana","2","2","2","","","","","","","","","",NA,NA,NA
"250275",373117,"Puccinellia","rupestris","1","1","1","","","","","","","","","",NA,NA,NA
"250276",373118,"Puccinellia","schischkinii","2","2","2","","","","","","","","","",NA,NA,NA
"250277",373119,"Puccinellia","sereginii","2","2","2","","","","","","","","","",NA,NA,NA
"250278",373120,"Puccinellia","shuanghuensis","2","2","2","","","","","","","","","",NA,NA,NA
"250279",373121,"Puccinellia","skottsbergii","2","2","2","","","","","","","","","",NA,NA,NA
"250280",373122,"Puccinellia","stapfiana","2","2","2","","","","","","","","","",NA,NA,NA
"250281",373123,"Puccinellia","strictura","2","2","2","","","","","","","","","",NA,NA,NA
"250282",373124,"Puccinellia","tenella","subsp.","tenella","1","1","1","","","","","","","",NA,NA,NA
"250283",373125,"Puccinellia","thomsonii","2","2","2","","","","","","","","","",NA,NA,NA
"250284",373126,"Puccinellia","tianschanica","2","2","2","","","","","","","","","",NA,NA,NA
"250285",373127,"Puccinellia","vassica","1","1","1","","","","","","","","","",NA,NA,NA
"250286",373128,"Puccinellia","vitalii","2","2","2","","","","","","","","","",NA,NA,NA
"250287",373129,"Pucciphippsia","vacillans","6","6","1","","","","","","","","","",NA,NA,NA
"250288",373130,"Puelia","coriacea","1","1","1","","","","","","","","","",NA,NA,NA
"250289",373131,"Puelia","dewevrei","2","2","2","","","","","","","","","",NA,NA,NA
"250290",373132,"Puelia","schumanniana","2","2","2","","","","","","","","","",NA,NA,NA
"250291",373133,"Pueraria","montana","var.","chinensis","1","3","1","","","","","","","",NA,NA,NA
"250292",373134,"Pueraria","pseudohirsuta","1","3","1","","","","","","","","","",NA,NA,NA
"250293",373135,"Pueraria","tuberosa","1","3","1","","","","","","","","","",NA,NA,NA
"250294",373136,"Pueraria","wallichii","1","3","1","","","","","","","","","",NA,NA,NA
"250295",373137,"Pugionium","dolabratum","2","2","2","","","","","","","","","",NA,NA,NA
"250296",373138,"Pugionium","pterocarpum","2","2","2","","","","","","","","","",NA,NA,NA
"250297",373139,"Pulchranthus","congestus","2","2","2","","","","","","","","","",NA,NA,NA
"250298",373140,"Pulchranthus","variegatus","2","2","2","","","","","","","","","",NA,NA,NA
"250299",373141,"Pulicaria","1","1","1","","","","","","","","","","",NA,NA,NA
"250300",373142,"Pulicaria","alveolosa","2","2","2","","","","","","","","","",NA,NA,NA
"250301",373143,"Pulicaria","angustifolia","2","2","2","","","","","","","","","",NA,NA,NA
"250302",373144,"Pulicaria","auranitica","2","2","2","","","","","","","","","",NA,NA,NA
"250303",373145,"Pulicaria","foliolosa","2","2","2","","","","","","","","","",NA,NA,NA
"250304",373146,"Pulicaria","gnaphalodes","2","2","2","","","","","","","","","",NA,NA,NA
"250305",373147,"Pulicaria","incisa","4","5","5","","","","","","","","","",NA,NA,NA
"250306",373148,"Pulicaria","insignis","2","2","2","","","","","","","","","",NA,NA,NA
"250307",373149,"Pulicaria","inuloides","2","2","2","","","","","","","","","",NA,NA,NA
"250308",373150,"Pulicaria","mauritanica","18","18","17","","","","","","","","","",NA,NA,NA
